"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
	"Delaware"	"10"	"2024 (provisional and partial)"	"2024"	85	1018396	8.346458548	6.666817230	10.320562924	0.905300537	8.572923236	6.776552901	10.699436845	0.971230729
"Total"	"Delaware"	"10"			1672	4058572	41.196755903	39.222056690	43.171455116	1.007499598	42.846613734	40.714609678	44.978617791	1.087757172
	"District of Columbia"	"11"	"2021"	"2021"	450	670050	67.159167226	60.953976758	73.364357695	3.165913504	63.631578191	57.652070047	69.611086335	3.050769461
	"District of Columbia"	"11"	"2022"	"2022"	451	671803	67.132775531	60.936904012	73.328647050	3.161158938	64.251775420	58.228379070	70.275171770	3.073161403
	"District of Columbia"	"11"	"2023 (provisional)"	"2023"	427	671803	63.560299671	57.531538635	69.589060708	3.075898488	61.099511838	55.206336643	66.992687034	3.006722038
	"District of Columbia"	"11"	"2024 (provisional and partial)"	"2024"	77	671803	11.461693383	9.045339184	14.325168241	1.306181185	11.074608608	8.710844147	13.882132636	1.281839522
"Total"	"District of Columbia"	"11"			1405	2685459	52.318802856	49.583057270	55.054548443	1.395788565	50.046018206	47.386265580	52.705770832	1.357016646
	"Florida"	"12"	"2021"	"2021"	7827	21781128	35.934778034	35.138667498	36.730888569	0.406178844	37.493855344	36.639594575	38.348116113	0.435847331
	"Florida"	"12"	"2022"	"2022"	7551	22244823	33.944976771	33.179328419	34.710625122	0.390636914	35.195503240	34.378531667	36.012474814	0.416822231
	"Florida"	"12"	"2023 (provisional)"	"2023"	7010	22244823	31.512950227	30.775239453	32.250661000	0.376383048	32.297562160	31.517777612	33.077346708	0.397849259
	"Florida"	"12"	"2024 (provisional and partial)"	"2024"	1374	22244823	6.176718061	5.850114826	6.503321297	0.166634304	6.309560879	5.965068407	6.654053351	0.175761465
"Total"	"Florida"	"12"			23762	88515597	26.844986427	26.503653830	27.186319023	0.174149284	27.742351260	27.379140661	28.105561859	0.185311530
	"Georgia"	"13"	"2021"	"2021"	2500	10799566	23.149078398	22.241634525	24.056522271	0.462981568	23.513835116	22.579024325	24.448645907	0.476944281
	"Georgia"	"13"	"2022"	"2022"	2687	10912876	24.622290219	23.691288069	25.553292370	0.475001097	24.929140211	23.972449243	25.885831180	0.488107637
	"Georgia"	"13"	"2023 (provisional)"	"2023"	2570	10912876	23.550162212	22.639654953	24.460669471	0.464544520	23.798893047	22.864470875	24.733315220	0.476746007
	"Georgia"	"13"	"2024 (provisional and partial)"	"2024"	469	10912876	4.297675517	3.908717011	4.686634021	0.198448217	4.287518200	3.892328990	4.682707411	0.201627148
"Total"	"Georgia"	"13"			8226	43538194	18.893755676	18.485455080	19.302056272	0.208316631	19.126722135	18.707219700	19.546224571	0.214031855
	"Hawaii"	"15"	"2021"	"2021"	269	1441553	18.660430799	16.430447569	20.890414030	1.137746546	17.273420207	15.131531420	19.415308995	1.092800402
	"Hawaii"	"15"	"2022"	"2022"	284	1440196	19.719538174	17.426065125	22.013011223	1.170139311	18.556578183	16.327489701	20.785666664	1.137290042
	"Hawaii"	"15"	"2023 (provisional)"	"2023"	320	1440196	22.219197942	19.784699729	24.653696156	1.242090925	21.312087136	18.899677697	23.724496575	1.230821142
	"Hawaii"	"15"	"2024 (provisional and partial)"	"2024"	53	1440196	3.680054659	2.756618544	4.813585095	0.505494383	3.514716277	2.608692715	4.633731646	0.496676334
"Total"	"Hawaii"	"15"			926	5762141	16.070415493	15.035326517	17.105504470	0.528106621	15.131630790	14.123855524	16.139406057	0.514171055
	"Idaho"	"16"	"2021"	"2021"	354	1900923	18.622532317	16.682570523	20.562494111	0.989776426	18.950602031	16.935529592	20.965674471	1.028098183
	"Idaho"	"16"	"2022"	"2022"	385	1939033	19.855257750	17.871899185	21.838616314	1.011917635	20.661289582	18.560714542	22.761864622	1.071721959
	"Idaho"	"16"	"2023 (provisional)"	"2023"	386	1939033	19.906829848	17.920897164	21.892762532	1.013230961	20.817982782	18.700636307	22.935329258	1.080278814
	"Idaho"	"16"	"2024 (provisional and partial)"	"2024"	82	1939033	4.228912040	3.363380613	5.249179359	0.467005210	4.361037679	3.447225844	5.442793075	0.492902299
