"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	Age Adjusted Rate	Age Adjusted Rate Lower 95% Confidence Interval	Age Adjusted Rate Upper 95% Confidence Interval	Age Adjusted Rate Standard Error
"Total"	"North Carolina"	"37"			12206	42648081	28.620279539	28.112537339	29.128021738	0.259052143	29.711242474	29.173951350	30.248533599	0.274128125
	"North Dakota"	"38"	"2021"	"2021"	124	774948	16.001073620	13.184673513	18.817473728	1.436938830	17.158275619	14.090175703	20.226375535	1.565357100
	"North Dakota"	"38"	"2022"	"2022"	148	779261	18.992353011	15.932475882	22.052230141	1.561161801	19.807593326	16.557215309	23.057971342	1.658356131
	"North Dakota"	"38"	"2023 (provisional)"	"2023"	122	779261	15.655858563	12.877725487	18.433991640	1.417414835	16.525176366	13.540913684	19.509439049	1.522583001
	"North Dakota"	"38"	"2024 (provisional and partial)"	"2024"	28	779261	3.593147867	2.387610826	5.193104749	0.679041120	3.922427521	2.584918961	5.706935922	0.753092738
"Total"	"North Dakota"	"38"			422	3112731	13.557226757	12.263714030	14.850739483	0.659955473	14.345907306	12.953283636	15.738530976	0.710522280
	"Ohio"	"39"	"2021"	"2021"	5397	11780017	45.814874461	44.592550393	47.037198528	0.623634729	48.097835335	46.782211277	49.413459393	0.671236764
	"Ohio"	"39"	"2022"	"2022"	5144	11756058	43.756163843	42.560401614	44.951926073	0.610082770	45.590528703	44.312639924	46.868417481	0.651984070
	"Ohio"	"39"	"2023 (provisional)"	"2023"	4745	11756058	40.362169020	39.213718048	41.510619992	0.585944373	41.746119729	40.525037970	42.967201488	0.623000897
	"Ohio"	"39"	"2024 (provisional and partial)"	"2024"	804	11756058	6.839027164	6.366287137	7.311767191	0.241193891	7.079073662	6.576305078	7.581842246	0.256514584
"Total"	"Ohio"	"39"			16090	47048191	34.198976960	33.670542459	34.727411460	0.269609439	35.633936973	35.068891537	36.198982409	0.288288488
	"Oklahoma"	"40"	"2021"	"2021"	960	3986639	24.080434672	22.557137005	25.603732339	0.777192687	24.446849757	22.866651942	26.027047571	0.806223375
	"Oklahoma"	"40"	"2022"	"2022"	1196	4019800	29.752724016	28.066492449	31.438955584	0.860322228	30.669987330	28.900376355	32.439598305	0.902862742
	"Oklahoma"	"40"	"2023 (provisional)"	"2023"	1278	4019800	31.792626499	30.049547572	33.535705425	0.889325983	32.788328144	30.956587693	34.620068594	0.934561454
	"Oklahoma"	"40"	"2024 (provisional and partial)"	"2024"	259	4019800	6.443106622	5.658410498	7.227802746	0.400355165	6.500814115	5.692379321	7.309248909	0.412466732
"Total"	"Oklahoma"	"40"			3693	16046039	23.015025702	22.272728401	23.757323004	0.378723113	23.613541550	22.837034106	24.390048994	0.396177267
	"Oregon"	"41"	"2021"	"2021"	1171	4246155	27.577891057	25.998321789	29.157460324	0.805902688	26.794928106	25.225865447	28.363990764	0.800542173
	"Oregon"	"41"	"2022"	"2022"	1363	4240137	32.145187762	30.438617748	33.851757775	0.870698986	31.098924457	29.412379149	32.785469766	0.860482300
	"Oregon"	"41"	"2023 (provisional)"	"2023"	1782	4240137	42.026943941	40.075617038	43.978270844	0.995574950	40.814512776	38.881230079	42.747795474	0.986368723
	"Oregon"	"41"	"2024 (provisional and partial)"	"2024"	370	4240137	8.726133142	7.836979023	9.615287260	0.453650060	8.370480683	7.497707451	9.243253915	0.445292465
"Total"	"Oregon"	"41"			4686	16966566	27.619024380	26.828230568	28.409818193	0.403466231	26.757179879	25.974789488	27.539570271	0.399178771
	"Pennsylvania"	"42"	"2021"	"2021"	5449	12964056	42.031598753	40.915574643	43.147622863	0.569400056	43.248065945	42.065658498	44.430473393	0.603269106
	"Pennsylvania"	"42"	"2022"	"2022"	5169	12972008	39.847338978	38.761033100	40.933644856	0.554237693	40.873318109	39.724845680	42.021790537	0.585955321
	"Pennsylvania"	"42"	"2023 (provisional)"	"2023"	4757	12972008	36.671269398	35.629154897	37.713383899	0.531691072	37.070491794	35.982190368	38.158793219	0.555255829
	"Pennsylvania"	"42"	"2024 (provisional and partial)"	"2024"	829	12972008	6.390683694	5.955646760	6.825720627	0.221957619	6.348983580	5.900753729	6.797213431	0.228688700
"Total"	"Pennsylvania"	"42"			16204	51880080	31.233567874	30.752654836	31.714480912	0.245363795	31.914701869	31.407969238	32.421434501	0.258537057
	"Rhode Island"	"44"	"2021"	"2021"	455	1095610	41.529376329	37.713399033	45.345353625	1.946927192	41.719821877	37.771847902	45.667795852	2.014272436
	"Rhode Island"	"44"	"2022"	"2022"	424	1093734	38.766281381	35.076273559	42.456289203	1.882657052	38.117780014	34.369230136	41.866329891	1.912525447
	"Rhode Island"	"44"	"2023 (provisional)"	"2023"	413	1093734	37.760552383	34.118724771	41.402379994	1.858075312	37.747201244	33.984618004	41.509784483	1.919685326
	"Rhode Island"	"44"	"2024 (provisional and partial)"	"2024"	80	1093734	7.314392713	5.799874558	9.103420027	0.817773966	7.346632692	5.778567410	9.209077546	0.849854355
"Total"	"Rhode Island"	"44"			1372	4376812	31.347016961	29.688288737	33.005745186	0.846289910	31.224030866	29.518811057	32.929250675	0.870010107
	"South Carolina"	"45"	"2021"	"2021"	2138	5190705	41.189009971	39.443052847	42.934967094	0.890794451	42.753178757	40.893428108	44.612929406	0.948852372
	"South Carolina"	"45"	"2022"	"2022"	2279	5282634	43.141357134	41.370115909	44.912598359	0.903694503	44.740730132	42.853618719	46.627841545	0.962811945
	"South Carolina"	"45"	"2023 (provisional)"	"2023"	2177	5282634	41.210502185	39.479351932	42.941652439	0.883239925	42.002439869	40.183586441	43.821293297	0.927986443
	"South Carolina"	"45"	"2024 (provisional and partial)"	"2024"	401	5282634	7.590910141	6.847929094	8.333891188	0.379071963	7.821771914	7.034490834	8.609052994	0.401674020
"Total"	"South Carolina"	"45"			6995	21038607	33.248399003	32.469227699	34.027570307	0.397536380	34.302870222	33.476384382	35.129356063	0.421676449
	"South Dakota"	"46"	"2021"	"2021"	105	895376	11.726916960	9.483834333	13.969999587	1.144429912	12.628292050	10.148515437	15.108068662	1.265192149
	"South Dakota"	"46"	"2022"	"2022"	95	909824	10.441579910	8.447864642	12.764309361	1.071283495	11.316021723	9.122297752	13.878082201	1.182650637
	"South Dakota"	"46"	"2023 (provisional)"	"2023"	95	909824	10.441579910	8.447864642	12.764309361	1.071283495	11.371211369	9.155417122	13.961345895	1.190251002
	"South Dakota"	"46"	"2024 (provisional and partial)"	"2024"	27	909824	2.967606922	1.955682638	4.317719691	0.571116218	3.266352737	2.133679598	4.785958021	0.640834831
"Total"	"South Dakota"	"46"			322	3624848	8.883131100	7.912857517	9.853404682	0.495037542	9.629586404	8.554755352	10.704417457	0.548383190
	"Tennessee"	"47"	"2021"	"2021"	3813	6975218	54.664958142	52.929829461	56.400086823	0.885269735	56.601138950	54.766260543	58.436017357	0.936162453
	"Tennessee"	"47"	"2022"	"2022"	3825	7051339	54.245016443	52.525920178	55.964112708	0.877089931	56.019298954	54.205700223	57.832897686	0.925305475
	"Tennessee"	"47"	"2023 (provisional)"	"2023"	3616	7051339	51.281040381	49.609569989	52.952510773	0.852791016	52.852812773	51.092112591	54.613512955	0.898316419
	"Tennessee"	"47"	"2024 (provisional and partial)"	"2024"	667	7051339	9.459196331	8.741323704	10.177068959	0.366261545	9.742601669	8.986186241	10.499017097	0.385926239
"Total"	"Tennessee"	"47"			11921	28129235	42.379396382	41.618624428	43.140168337	0.388148956	43.789596283	42.986468592	44.592723974	0.409759026
	"Texas"	"48"	"2021"	"2021"	4984	29527941	16.878928334	16.410317933	17.347538735	0.239086939	16.781658308	16.310810930	17.252505687	0.240228254
	"Texas"	"48"	"2022"	"2022"	5489	30029572	18.278648793	17.795085258	18.762212329	0.246716090	18.241767465	17.754580451	18.728954478	0.248564803
	"Texas"	"48"	"2023 (provisional)"	"2023"	5687	30029572	18.937998850	18.445790992	19.430206708	0.251126458	18.836479761	18.342001472	19.330958050	0.252284841
	"Texas"	"48"	"2024 (provisional and partial)"	"2024"	1163	30029572	3.872849070	3.650263613	4.095434528	0.113564009	3.845612245	3.622120169	4.069104322	0.114026570
"Total"	"Texas"	"48"			17323	119616657	14.482096754	14.266433594	14.697759913	0.110032224	14.397989182	14.181439328	14.614539037	0.110484620
	"Utah"	"49"	"2021"	"2021"	662	3337975	19.832383406	18.321600764	21.343166048	0.770807470	21.134419790	19.506803259	22.762036322	0.830416598
	"Utah"	"49"	"2022"	"2022"	627	3380800	18.545906294	17.094228071	19.997584518	0.740652155	19.798978706	18.233594864	21.364362549	0.798665226
	"Utah"	"49"	"2023 (provisional)"	"2023"	693	3380800	20.498106957	18.971935915	22.024277999	0.778658695	21.734790976	20.100207115	23.369374837	0.833971358
	"Utah"	"49"	"2024 (provisional and partial)"	"2024"	166	3380800	4.910080454	4.163131995	5.657028913	0.381096153	5.239353254	4.434634188	6.044072320	0.410570952
"Total"	"Utah"	"49"			2148	13480375	15.934274825	15.260412407	16.608137244	0.343807356	16.941305124	16.217326438	17.665283810	0.369376881
	"Vermont"	"50"	"2021"	"2021"	252	645570	39.035271156	34.215648897	43.854893415	2.458990948	42.330705192	36.953831878	47.707578506	2.743302711
	"Vermont"	"50"	"2022"	"2022"	276	647064	42.654204221	37.621940713	47.686467728	2.567481381	45.936661277	40.358382281	51.514940272	2.846060712
	"Vermont"	"50"	"2023 (provisional)"	"2023"	259	647064	40.026952512	35.152131041	44.901773982	2.487153812	42.462828887	37.109524391	47.816133382	2.731277804
	"Vermont"	"50"	"2024 (provisional and partial)"	"2024"	38	647064	5.872680291	4.155860935	8.060723514	0.952674543	6.297995831	4.411053300	8.719071388	1.044716987
"Total"	"Vermont"	"50"			825	2586762	31.893154453	29.716815310	34.069493596	1.110377114	34.228130308	31.820967122	36.635293494	1.228144483
	"Virginia"	"51"	"2021"	"2021"	2626	8642274	30.385521218	29.223335857	31.547706580	0.592951715	30.456407052	29.270771163	31.642042940	0.604916269
	"Virginia"	"51"	"2022"	"2022"	2496	8683619	28.743776069	27.616117559	29.871434578	0.575335974	28.812940319	27.662216719	29.963663919	0.587103878
	"Virginia"	"51"	"2023 (provisional)"	"2023"	2480	8683619	28.559521094	27.435482685	29.683559503	0.573488984	28.581931080	27.435961718	29.727900442	0.584678246
	"Virginia"	"51"	"2024 (provisional and partial)"	"2024"	383	8683619	4.410603459	3.968875694	4.852331224	0.225371309	4.419634419	3.968653689	4.870615150	0.230092209
"Total"	"Virginia"	"51"			7985	34693131	23.016083501	22.511247828	23.520919174	0.257569221	23.062342948	22.547291807	23.577394090	0.262781195
	"Washington"	"53"	"2021"	"2021"	2264	7738692	29.255589963	28.050479879	30.460700047	0.614852084	28.131173782	26.949765696	29.312581868	0.602759228
	"Washington"	"53"	"2022"	"2022"	2725	7785786	34.999677618	33.685552059	36.313803177	0.670472224	33.701843186	32.413461318	34.990225054	0.657337688
	"Washington"	"53"	"2023 (provisional)"	"2023"	3477	7785786	44.658304248	43.173887129	46.142721367	0.757355673	42.675216623	41.228925604	44.121507643	0.737903582
	"Washington"	"53"	"2024 (provisional and partial)"	"2024"	784	7785786	10.069632019	9.364757778	10.774506261	0.359629715	9.662971877	8.973835802	10.352107952	0.351600038
"Total"	"Washington"	"53"			9250	31096050	29.746543371	29.140335304	30.352751439	0.309289830	28.531611796	27.939058146	29.124165446	0.302323291
	"West Virginia"	"54"	"2021"	"2021"	1501	1782959	84.185895469	79.926920761	88.444870177	2.172946280	90.917839090	86.181263455	95.654414726	2.416620222
	"West Virginia"	"54"	"2022"	"2022"	1335	1775156	75.204658069	71.170432483	79.238883656	2.058278361	80.919972885	76.440409030	85.399536740	2.285491763
	"West Virginia"	"54"	"2023 (provisional)"	"2023"	1377	1775156	77.570647312	73.473453418	81.667841206	2.090405048	81.579812098	77.125173239	86.034450957	2.272774928
	"West Virginia"	"54"	"2024 (provisional and partial)"	"2024"	243	1775156	13.688937761	11.967772058	15.410103464	0.878145767	14.463314987	12.577963083	16.348666891	0.961914237
"Total"	"West Virginia"	"54"			4456	7108427	62.686161087	60.845579155	64.526743020	0.939072415	66.999201099	64.968884092	69.029518106	1.035876024
	"Wisconsin"	"55"	"2021"	"2021"	1775	5895908	30.105625800	28.705056663	31.506194937	0.714576090	31.565231972	30.059066938	33.071397006	0.768451548
	"Wisconsin"	"55"	"2022"	"2022"	1792	5892539	30.411338813	29.003274121	31.819403505	0.718400353	31.779416437	30.268175454	33.290657420	0.771041318
	"Wisconsin"	"55"	"2023 (provisional)"	"2023"	1767	5892539	29.987073484	28.588865169	31.385281799	0.713371589	30.665265382	29.189733044	32.140797720	0.752822621
	"Wisconsin"	"55"	"2024 (provisional and partial)"	"2024"	299	5892539	5.074213340	4.499052645	5.649374035	0.293449334	5.179508729	4.572532111	5.786485348	0.309681948
"Total"	"Wisconsin"	"55"			5633	23573525	23.895450511	23.271426330	24.519474691	0.318379684	24.823575557	24.156909422	25.490241692	0.340135783
	"Wyoming"	"56"	"2021"	"2021"	109	578803	18.831968735	15.296568823	22.367368648	1.803775466	18.910101383	15.261260036	22.558942731	1.861653748
	"Wyoming"	"56"	"2022"	"2022"	126	581381	21.672534878	17.888278868	25.456790888	1.930742862	21.874087917	17.957580419	25.790595415	1.998218111
	"Wyoming"	"56"	"2023 (provisional)"	"2023"	135	581381	23.220573084	19.303495973	27.137650194	1.998508730	23.801065937	19.685813970	27.916317904	2.099618350
	"Wyoming"	"56"	"2024 (provisional and partial)"	"2024"	33	581381	5.676140087	3.907171029	7.971400854	0.988089161	5.093659853	3.436692303	7.271505060	0.923867307
"Total"	"Wyoming"	"56"			403	2322946	17.348659848	15.654831175	19.042488521	0.864198302	17.419667509	15.672251370	19.167083648	0.891538846
"Total"					339317	1331756416	25.478908599	25.393178351	25.564638848	0.043739923	25.576576783	25.488654683	25.664498883	0.044858214
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"UCD - Drug/Alcohol Induced Causes: Drug poisonings (overdose) Unintentional (X40-X44); Drug poisonings (overdose) Suicide"
"(X60-X64); Drug poisonings (overdose) Homicide (X85); Drug poisonings (overdose) Undetermined (Y10-Y14)"
"Year/Month: 2021; 2022; 2023 (provisional); 2024 (provisional and partial)"
"Group By: Residence State; Year"
"Show Totals: True"
"Show Zero Values: True"
"Show Suppressed: True"
"Standard Population: 2000 U.S. Std. Population"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Sep 24, 2024 11:43:48 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2022,"
"and from provisional data for years 2023-2024, as compiled from data provided by the 57 vital statistics jurisdictions through"
"the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Sep 24, 2024 11:43:48"
"AM"
"---"
Caveats:
"1. The populations used to calculate standard age-adjusted rates are documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#2000 Standard Population."
"2. The method used to calculate age-adjusted rates is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Age-Adjusted Rates."
"3. Deaths for persons of unknown age are included in counts and crude rates, but are not included in age-adjusted rates."
"4. The method used to calculate 95% confidence intervals is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Confidence-Intervals."
"5. The method used to calculate standard errors is documented here: More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Standard-Errors."
"6. The population figures for years 2022 and later are single-race estimates of the July 1 resident population, from the Vintage"
"2022 postcensal series released by the Census Bureau on June 22, 2023. The 2022 series is based on the Modified Blended Base"
"produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of"
"the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020"
"Census data from the internal Census Edited File (CEF). The population figures for years 2021 are single-race estimates of the"
"July 1 resident population, based on the Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial"
"population count, from the Vintage 2021 postcensal series released by the Census Bureau on June 30, 2022. The population figures"
"for year 2020 are single-race estimates of the July 1 resident population, from the Vintage 2020 postcensal series based on"
"April 2010 Census, released by the Census Bureau on July 27, 2021. The population figures for year 2019 are single-race"
"estimates of the July 1 resident population, from the Vintage 2019 postcensal series based on April 2010 Census, released by the"
"Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the July 1 resident"
"population, from the Vintage 2018 postcensal series based on April 2010 Census, released by the Census Bureau on June 20, 2019."
"More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Population Data."
"7. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Age"
"Group."
"8. Connecticut population estimates for 2022 are reported for 9 planning regions as county equivalent areas, instead of the"
"former 8 legacy counties in the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023. Populations"
"estimates for the former counties are not available for 2022. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Connecticut-2022."
"9. Death data for Florida from July 2024 and August 2024 are temporarily under reported due to technical difficulties with the"
"reporting systems."
"10. Deaths occurring through September 14, 2024 as of September 22, 2024."
