"state";"Model";"#Obs";"#Param";"DF";"SSE";"MSE";"Auto Corr";"Segment";"Joinpoint";"Joinpoint 95% LCL";"Joinpoint 95% UCL";"Intercept Estimate";"Intercept Std Error";"Intercept Test Statistic";"Intercept P-Value";"Slope Estimate";"Slope Std Error";"Slope Test Statistic";"Slope P-Value";"SlopeChg Estimate";"SlopeChg Std Error";"SlopeChg Test Statistic";"SlopeChg P-Value";"Covar-Int vs Int";"Covar-Int vs Slope";"Covar-Slope vs Slope";"Corr-Int vs Int";"Corr-Int vs Slope";"Corr-Slope vs Slope"
"North Carolina";3;21;8;13;24.710482;1.900806;Uncorrelated;0;NA;NA;NA;-280.911683;28.285868;-9.931167;0.000002;0.141329;0.014129;10.002698;0.000002;NA;NA;NA;NA;800.090321;0.000000;9559.034678;1.000000;0.000000;1.000000
"North Carolina";3;21;8;13;24.710482;1.900806;Uncorrelated;1;2005;2003;2007;-28.948647;12.860810;-2.250919;0.048105;0.015662;0.006400;2.447341;0.034414;-0.125667;0.015511;-8.101887;0.000011;0.000200;0.000000;0.002353;1.000000;0.000000;1.000000
"North Carolina";3;21;8;13;24.710482;1.900806;Uncorrelated;2;2014;2013;2014;-382.689318;97.770316;-3.914167;0.002894;0.191303;0.048508;3.943748;0.002758;0.175641;0.048928;3.589766;0.004931;165.400438;0.000000;7421.045068;1.000000;0.000000;1.000000
"North Carolina";3;21;8;13;24.710482;1.900806;Uncorrelated;3;2017;2016;2017;80.204558;86.145488;0.931036;0.373766;-0.038193;0.042678;-0.894920;0.391861;-0.229496;0.064610;-3.552035;0.005250;0.000041;0.000000;0.001821;1.000000;0.000000;1.000000
"Ohio";2;21;6;15;431.849744;28.789983;Uncorrelated;0;NA;NA;NA;-195.793247;18.519490;-10.572281;0.000000;0.098800;0.009224;10.710954;0.000000;NA;NA;NA;NA;342.971517;0.000000;0.014820;1.000000;0.000000;1.000000
"Ohio";2;21;6;15;431.849744;28.789983;Uncorrelated;1;2014;2008;2014;-419.578253;245.366708;-1.710005;0.111009;0.209915;0.121736;1.724347;0.108325;0.111115;0.122085;0.910143;0.379313;0.000085;0.000000;55450.016961;1.000000;0.000000;1.000000
"Ohio";2;21;6;15;431.849744;28.789983;Uncorrelated;2;2017;2015;2017;238.420262;235.478273;1.012494;0.329777;-0.116311;0.116659;-0.997020;0.336952;-0.326226;0.168609;-1.934811;0.075074;60204.821617;0.000000;0.013609;1.000000;0.000000;1.000000
"Oklahoma";1;21;4;17;92.117598;5.418682;Uncorrelated;0;NA;NA;NA;-299.500691;41.448081;-7.225924;0.000002;0.150704;0.020690;7.283991;0.000002;NA;NA;NA;NA;1717.943451;0.000000;245.835603;1.000000;0.000000;1.000000
"Oklahoma";1;21;4;17;92.117598;5.418682;Uncorrelated;1;2007;2005;2010;2.276327;15.679145;0.145182;0.886380;0.000342;0.007787;0.043906;0.965523;-0.150362;0.022107;-6.801696;0.000004;0.000428;0.000000;0.000061;1.000000;0.000000;1.000000
"Oregon";1;21;4;17;29.920376;1.760022;Uncorrelated;0;NA;NA;NA;-212.763171;30.876899;-6.890691;0.000004;0.107325;0.015420;6.960325;0.000003;NA;NA;NA;NA;953.382920;0.000000;81.051453;1.000000;0.000000;1.000000
