"state";"Model";"#Obs";"#Param";"DF";"SSE";"MSE";"Auto Corr";"Segment";"Joinpoint";"Joinpoint 95% LCL";"Joinpoint 95% UCL";"Intercept Estimate";"Intercept Std Error";"Intercept Test Statistic";"Intercept P-Value";"Slope Estimate";"Slope Std Error";"Slope Test Statistic";"Slope P-Value";"SlopeChg Estimate";"SlopeChg Std Error";"SlopeChg Test Statistic";"SlopeChg P-Value";"Covar-Int vs Int";"Covar-Int vs Slope";"Covar-Slope vs Slope";"Corr-Int vs Int";"Corr-Int vs Slope";"Corr-Slope vs Slope"
"Connecticut";2;21;6;15;43.250220;2.883348;Uncorrelated;0;NA;NA;NA;-44.272804;13.872596;-3.191386;0.007084;0.023236;0.006918;3.358785;0.005133;NA;NA;NA;NA;192.448929;0.000000;0.002324;1.000000;0.000000;1.000000
"Connecticut";2;21;6;15;43.250220;2.883348;Uncorrelated;1;2012;2009;2013;-420.892830;97.099918;-4.334636;0.000810;0.210423;0.048210;4.364719;0.000766;0.187187;0.048704;3.843374;0.002033;0.000048;0.000000;5691.923807;1.000000;0.000000;1.000000
"Connecticut";2;21;6;15;43.250220;2.883348;Uncorrelated;2;2016;2014;2017;-140.797150;75.444839;-1.866226;0.084727;0.071487;0.037385;1.912162;0.078146;-0.138936;0.061007;-2.277384;0.040314;9428.394145;0.000000;0.001398;1.000000;0.000000;1.000000
"Delaware";1;21;4;17;30.011329;1.765372;Uncorrelated;0;NA;NA;NA;-149.842074;17.185846;-8.718923;0.000000;0.075901;0.008561;8.866228;0.000000;NA;NA;NA;NA;295.353295;0.000000;2662.246784;1.000000;0.000000;1.000000
"Delaware";1;21;4;17;30.011329;1.765372;Uncorrelated;1;2014;2011;2016;-359.751040;51.596965;-6.972329;0.000003;0.180126;0.025577;7.042612;0.000003;0.104225;0.026971;3.864304;0.001373;0.000073;0.000000;0.000654;1.000000;0.000000;1.000000
"District of Columbia";1;21;4;17;151.807166;8.929833;Uncorrelated;0;NA;NA;NA;38.089357;65.649148;0.580196;0.569864;-0.017713;0.032755;-0.540783;0.596107;NA;NA;NA;NA;4309.810672;0.000000;6243.760740;1.000000;0.000000;1.000000
"District of Columbia";1;21;4;17;151.807166;8.929833;Uncorrelated;1;2011;2007;2015;-356.678497;79.017471;-4.513919;0.000353;0.178591;0.039185;4.557651;0.000323;0.196304;0.051072;3.843692;0.001434;0.001073;0.000000;0.001535;1.000000;0.000000;1.000000
"Florida";3;21;8;13;346.820804;26.678523;Uncorrelated;0;NA;NA;NA;-151.106211;24.511509;-6.164705;0.000106;0.076656;0.012229;6.268256;0.000093;NA;NA;NA;NA;600.814053;0.000000;66058.365715;1.000000;0.000000;1.000000
"Florida";3;21;8;13;346.820804;26.678523;Uncorrelated;1;2009;2001;2011;222.536932;129.368067;1.720184;0.116138;-0.109328;0.064332;-1.699436;0.120078;-0.185985;0.065484;-2.840148;0.017544;0.000150;0.000000;0.016277;1.000000;0.000000;1.000000
"Florida";3;21;8;13;346.820804;26.678523;Uncorrelated;2;2013;2004;2014;-442.708834;257.018221;-1.722480;0.115709;0.221147;0.127581;1.733383;0.113693;0.330475;0.142883;2.312908;0.043293;16736.096754;0.000000;9313.052580;1.000000;0.000000;1.000000
"Florida";3;21;8;13;346.820804;26.678523;Uncorrelated;3;2016;2011;2017;-64.274242;96.504158;-0.666026;0.520462;0.033431;0.047821;0.699080;0.500438;-0.187716;0.136249;-1.377739;0.198332;0.004139;0.000000;0.002287;1.000000;0.000000;1.000000
"Georgia";3;21;8;13;23.712041;1.824003;Uncorrelated;0;NA;NA;NA;-544.312213;180.894382;-3.009006;0.013140;0.272910;0.090467;3.016687;0.012969;NA;NA;NA;NA;32722.777415;0.000000;57.521961;1.000000;0.000000;1.000000
"Georgia";3;21;8;13;23.712041;1.824003;Uncorrelated;1;2001;2001;2008;-160.236574;40.230866;-3.982926;0.002589;0.080968;0.020079;4.032464;0.002390;-0.191942;0.092668;-2.071276;0.065144;0.008184;0.000000;0.000014;1.000000;0.000000;1.000000
"Georgia";3;21;8;13;23.712041;1.824003;Uncorrelated;2;2006;2004;2014;-77.201812;7.584323;-10.179130;0.000001;0.039575;0.003770;10.497885;0.000001;-0.041393;0.020430;-2.026100;0.070261;1618.522595;0.000000;7716.367551;1.000000;0.000000;1.000000
"Georgia";3;21;8;13;23.712041;1.824003;Uncorrelated;3;2017;2007;2017;59.017447;87.842857;0.671853;0.516898;-0.027960;0.043519;-0.642486;0.535009;-0.067536;0.043682;-1.546079;0.153122;0.000403;0.000000;0.001894;1.000000;0.000000;1.000000
"Hawaii";0;21;2;19;27.088245;1.425697;Uncorrelated;0;NA;NA;NA;-90.132351;7.812042;-11.537617;0.000000;0.045989;0.003885;11.838051;0.000000;NA;NA;NA;NA;61.028003;-0.030348;0.000015;1.000000;-0.999996;1.000000
"Idaho";3;21;8;13;8.942031;0.687849;Uncorrelated;0;NA;NA;NA;-376.454113;134.509505;-2.798718;0.018836;0.189122;0.067250;2.812236;0.018404;NA;NA;NA;NA;18092.806883;0.000000;3953.796832;1.000000;0.000000;1.000000
"Idaho";3;21;8;13;8.942031;0.687849;Uncorrelated;1;2002;2001;2004;81.847880;239.646336;0.341536;0.739768;-0.039800;0.119615;-0.332736;0.746204;-0.228922;0.137223;-1.668249;0.126228;0.004523;0.000000;0.000981;1.000000;0.000000;1.000000
"Idaho";3;21;8;13;8.942031;0.687849;Uncorrelated;2;2005;2004;2014;-178.764456;62.879224;-2.842981;0.017459;0.090181;0.031320;2.879322;0.016405;0.129981;0.123647;1.051228;0.317894;57430.366184;0.000000;225.190706;1.000000;0.000000;1.000000
"Idaho";3;21;8;13;8.942031;0.687849;Uncorrelated;3;2010;2007;2017;-49.683337;15.006356;-3.310820;0.007868;0.025962;0.007446;3.486534;0.005857;-0.064219;0.032193;-1.994810;0.074025;0.014308;0.000000;0.000055;1.000000;0.000000;1.000000
"Illinois";2;21;6;15;109.212844;7.280856;Uncorrelated;0;NA;NA;NA;-85.452406;9.481682;-9.012368;0.000001;0.043701;0.004725;9.249613;0.000000;NA;NA;NA;NA;89.902300;0.000000;0.006983;1.000000;0.000000;1.000000
"Illinois";2;21;6;15;109.212844;7.280856;Uncorrelated;1;2014;2012;2014;-338.722798;168.428874;-2.011073;0.065527;0.169456;0.083564;2.027856;0.063582;0.125755;0.083697;1.502494;0.156867;0.000022;0.000000;21685.952153;1.000000;0.000000;1.000000
"Illinois";2;21;6;15;109.212844;7.280856;Uncorrelated;2;2017;2015;2017;-6.051760;147.261509;-0.041095;0.967844;0.004522;0.072956;0.061985;0.951518;-0.164934;0.110930;-1.486825;0.160908;28368.285600;0.000000;0.005323;1.000000;0.000000;1.000000
"Indiana";3;21;8;13;25.767814;1.982140;Uncorrelated;0;NA;NA;NA;-387.690873;21.865259;-17.730907;0.000000;0.194506;0.010917;17.816199;0.000000;NA;NA;NA;NA;478.089566;0.000000;6762.237105;1.000000;0.000000;1.000000
"Indiana";3;21;8;13;25.767814;1.982140;Uncorrelated;1;2006;2004;2008;-91.358328;13.352762;-6.841905;0.000045;0.046783;0.006643;7.042864;0.000035;-0.147723;0.012779;-11.559512;0.000000;0.000119;0.000000;0.001665;1.000000;0.000000;1.000000
"Indiana";3;21;8;13;25.767814;1.982140;Uncorrelated;2;2014;2012;2014;-319.629000;82.232823;-3.886879;0.003025;0.160124;0.040799;3.924698;0.002845;0.113342;0.041336;2.741941;0.020763;178.296257;0.000000;5626.412023;1.000000;0.000000;1.000000
"Indiana";3;21;8;13;25.767814;1.982140;Uncorrelated;3;2017;2016;2017;90.398324;75.009413;1.205160;0.255886;-0.043161;0.037161;-1.161473;0.272423;-0.203286;0.055186;-3.683645;0.004221;0.000044;0.000000;0.001381;1.000000;0.000000;1.000000
"Iowa";1;21;4;17;17.253129;1.014890;Uncorrelated;0;NA;NA;NA;-315.111376;32.036500;-9.836011;0.000000;0.157980;0.015992;9.878810;0.000000;NA;NA;NA;NA;1026.337364;0.000000;118.117215;1.000000;0.000000;1.000000
"Iowa";1;21;4;17;17.253129;1.014890;Uncorrelated;1;2007;2005;2009;-79.881178;10.868174;-7.350009;0.000002;0.040776;0.005396;7.556156;0.000001;-0.117205;0.016878;-6.944331;0.000003;0.000256;0.000000;0.000029;1.000000;0.000000;1.000000
