"state";"Test #";"Null Hypothesis";"Alt Hypothesis";"Selected Hypothesis";"Numerator DF";"Denominator DF";"# of Permutations";"P-Value";"Significance level"
"Mississippi";1;1;3;1;   4;  13;4500;       0.0786667;       0.0250000
"Mississippi";2;1;2;1;   2;  15;4500;       0.0700000;       0.0250000
"Missouri";0;0;3;3;   6;  13;4500;       0.0040000;       0.0166667
"Missouri";1;1;3;1;   4;  13;4500;       0.1500000;       0.0250000
"Missouri";2;1;2;1;   2;  15;4500;       0.1275556;       0.0250000
"Montana";0;0;3;3;   6;  13;4500;       0.0002222;       0.0166667
"Montana";1;1;3;3;   4;  13;4500;       0.0168889;       0.0250000
"Montana";2;2;3;2;   2;  13;4500;       0.2011111;       0.0500000
"Nebraska";0;0;3;3;   6;  13;4500;       0.0097778;       0.0166667
"Nebraska";1;1;3;1;   4;  13;4500;       0.1535556;       0.0250000
"Nebraska";2;1;2;1;   2;  15;4500;       0.2006667;       0.0250000
"Nevada";0;0;3;3;   6;  13;4500;       0.0002222;       0.0166667
"Nevada";1;1;3;1;   4;  13;4500;       0.0928889;       0.0250000
"Nevada";2;1;2;1;   2;  15;4500;       0.2651111;       0.0250000
"New Hampshire";0;0;3;3;   6;  13;4500;       0.0002222;       0.0166667
"New Hampshire";1;1;3;3;   4;  13;4500;       0.0002222;       0.0250000
"New Hampshire";2;2;3;3;   2;  13;4500;       0.0115556;       0.0500000
"New Jersey";0;0;3;3;   6;  13;4500;       0.0031111;       0.0166667
"New Jersey";1;1;3;1;   4;  13;4500;       0.6106667;       0.0250000
"New Jersey";2;1;2;1;   2;  15;4500;       0.6375556;       0.0250000
"New Mexico";0;0;3;3;   6;  13;4500;       0.0135556;       0.0166667
"New Mexico";1;1;3;1;   4;  13;4500;       0.2875556;       0.0250000
"New Mexico";2;1;2;1;   2;  15;4500;       0.1791111;       0.0250000
"New York";0;0;3;0;   6;  13;4500;       0.1393333;       0.0166667
"New York";1;0;2;0;   4;  15;4500;       0.1182222;       0.0166667
"New York";2;0;1;0;   2;  17;4500;       0.4428889;       0.0166667
"North Carolina";0;0;3;3;   6;  13;4500;       0.0002222;       0.0166667
"North Carolina";1;1;3;3;   4;  13;4500;       0.0002222;       0.0250000
"North Carolina";2;2;3;3;   2;  13;4500;       0.0004444;       0.0500000
"Ohio";0;0;3;3;   6;  13;4500;       0.0035556;       0.0166667
"Ohio";1;1;3;3;   4;  13;4500;       0.0062222;       0.0250000
"Ohio";2;2;3;2;   2;  13;4500;       0.0671111;       0.0500000
"Oklahoma";0;0;3;3;   6;  13;4500;       0.0002222;       0.0166667
"Oklahoma";1;1;3;1;   4;  13;4500;       0.1282222;       0.0250000
"Oklahoma";2;1;2;1;   2;  15;4500;       0.0795556;       0.0250000
"Oregon";0;0;3;3;   6;  13;4500;       0.0002222;       0.0166667
"Oregon";1;1;3;1;   4;  13;4500;       0.2837778;       0.0250000
"Oregon";2;1;2;1;   2;  15;4500;       0.1608889;       0.0250000
"Pennsylvania";0;0;3;3;   6;  13;4500;       0.0002222;       0.0166667
"Pennsylvania";1;1;3;3;   4;  13;4500;       0.0002222;       0.0250000
"Pennsylvania";2;2;3;2;   2;  13;4500;       0.5866667;       0.0500000
"Rhode Island";0;0;3;0;   6;  13;4500;       0.0382222;       0.0166667
"Rhode Island";1;0;2;0;   4;  15;4500;       0.2095556;       0.0166667
"Rhode Island";2;0;1;0;   2;  17;4500;       0.1317778;       0.0166667
"South Carolina";0;0;3;3;   6;  13;4500;       0.0006667;       0.0166667
"South Carolina";1;1;3;3;   4;  13;4500;       0.0033333;       0.0250000
"South Carolina";2;2;3;2;   2;  13;4500;       0.3153333;       0.0500000
"Tennessee";0;0;3;3;   6;  13;4500;       0.0002222;       0.0166667
"Tennessee";1;1;3;3;   4;  13;4500;       0.0002222;       0.0250000
"Tennessee";2;2;3;2;   2;  13;4500;       0.4448889;       0.0500000
"Texas";0;0;3;3;   6;  13;4500;       0.0006667;       0.0166667
"Texas";1;1;3;1;   4;  13;4500;       0.2962222;       0.0250000
"Texas";2;1;2;1;   2;  15;4500;       0.3904444;       0.0250000
"Utah";0;0;3;3;   6;  13;4500;       0.0002222;       0.0166667
"Utah";1;1;3;3;   4;  13;4500;       0.0124444;       0.0250000
"Utah";2;2;3;2;   2;  13;4500;       0.0782222;       0.0500000
"Vermont";0;0;3;0;   6;  13;4500;       0.0304444;       0.0166667
"Vermont";1;0;2;2;   4;  15;4500;       0.0146667;       0.0166667
"Vermont";2;1;2;1;   2;  15;4500;       0.0282222;       0.0250000
"Virginia";0;0;3;3;   6;  13;4500;       0.0013333;       0.0166667
"Virginia";1;1;3;3;   4;  13;4500;       0.0246667;       0.0250000
"Virginia";2;2;3;2;   2;  13;4500;       0.0646667;       0.0500000
"Washington";0;0;3;3;   6;  13;4500;       0.0002222;       0.0166667
"Washington";1;1;3;3;   4;  13;4500;       0.0235556;       0.0250000
"Washington";2;2;3;2;   2;  13;4500;       0.0682222;       0.0500000
"West Virginia";0;0;3;0;   6;  13;4500;       0.3228889;       0.0166667
"West Virginia";1;0;2;0;   4;  15;4500;       0.2100000;       0.0166667
"West Virginia";2;0;1;0;   2;  17;4500;       0.1111111;       0.0166667
"Wisconsin";0;0;3;3;   6;  13;4500;       0.0006667;       0.0166667
"Wisconsin";1;1;3;3;   4;  13;4500;       0.0015556;       0.0250000
"Wisconsin";2;2;3;3;   2;  13;4500;       0.0424444;       0.0500000
"Wyoming";0;0;3;3;   6;  13;4500;       0.0002222;       0.0166667
"Wyoming";1;1;3;1;   4;  13;4500;       0.5068889;       0.0250000
"Wyoming";2;1;2;1;   2;  15;4500;       0.3602222;       0.0250000
"US";0;0;3;3;   6;  13;4500;       0.0002222;       0.0166667
"US";1;1;3;3;   4;  13;4500;       0.0004444;       0.0250000
"US";2;2;3;3;   2;  13;4500;       0.0004444;       0.0500000
