"state";"Model";"Segment";"Segment Start";"Segment End";"APC";"APC 95% LCL";"APC 95% UCL";"APC Significant";"Test Statistic";"P-Value"
"New Hampshire";3;3;2016;2019;-7.924;-19.369;5.147;0;-1.386;0.19595
"New Jersey";1;0;1999;2009;-0.098;-3.832;3.782;0;-0.055;0.95721
"New Jersey";1;1;2009;2019;16.054;13.179;19.003;1;12.581;0.00000
"New Mexico";1;0;1999;2008;6.096;3.862;8.377;1;5.896;0.00002
"New Mexico";1;1;2008;2019;1.146;-0.159;2.469;0;1.860;0.08135
"New York";0;0;1999;2019;8.398;7.162;9.647;1;14.724;0.00000
"North Carolina";3;0;1999;2005;15.180;11.611;18.864;1;10.003;0.00000
"North Carolina";3;1;2005;2014;1.579;0.140;3.037;1;2.447;0.03441
"North Carolina";3;2;2014;2017;21.083;8.678;34.903;1;3.944;0.00276
"North Carolina";3;3;2017;2019;-3.747;-12.479;5.855;0;-0.895;0.39186
"Ohio";2;0;1999;2014;10.385;8.207;12.606;1;10.711;0.00000
"Ohio";2;1;2014;2017;23.357;-5.170;60.466;0;1.724;0.10833
"Ohio";2;2;2017;2019;-10.980;-30.812;14.536;0;-0.997;0.33695
"Oklahoma";1;0;1999;2007;16.265;11.276;21.478;1;7.284;0.00000
"Oklahoma";1;1;2007;2019;0.034;-1.604;1.699;0;0.044;0.96552
"Oregon";1;0;1999;2006;11.330;7.749;15.029;1;6.960;0.00000
"Oregon";1;1;2006;2019;0.067;-0.877;1.020;0;0.150;0.88230
"Pennsylvania";2;0;1999;2014;6.480;5.496;7.473;1;14.616;0.00000
"Pennsylvania";2;1;2014;2017;27.466;10.612;46.887;1;3.697;0.00269
"Pennsylvania";2;2;2017;2019;-12.294;-23.200;0.161;0;-2.134;0.05244
"Rhode Island";0;0;1999;2019;7.405;6.240;8.583;1;13.706;0.00000
"South Carolina";2;0;1999;2007;14.620;10.110;19.315;1;7.343;0.00001
"South Carolina";2;1;2007;2013;0.228;-5.582;6.395;0;0.082;0.93564
"South Carolina";2;2;2013;2019;10.403;6.403;14.554;1;5.793;0.00006
"Tennessee";2;0;1999;2005;16.833;13.051;20.741;1;10.215;0.00000
"Tennessee";2;1;2005;2013;2.631;0.776;4.520;1;3.076;0.00885
"Tennessee";2;2;2013;2019;9.556;7.534;11.617;1;10.581;0.00000
